tweet_id,brand,text,user,date,sentiment,likes,retweets,replies,followers,following,engagement_rate,hashtags,mentions,fake_label,ctr,conversion_rate,impressions,age,gender,location,interest
20000,Tesla,Tesla announces new product,user_12,2024-06-20,negative,2575,3606,299,89306,2564,0.0352,#Sale #Update,user_22 user_95,real,0.102,0.035,73173,47,Other,Australia,Finance
20001,Meta,Meta partners with another company,user_82,2024-05-08,negative,2773,2879,1311,43645,2828,0.0387,#AI,user_70 user_57,fake,0.13,0.083,71703,55,Female,UK,AI
20002,Meta,Meta releases major update,user_68,2024-02-29,positive,6916,4971,51,111768,6553,0.3085,#ML,user_31,real,0.059,0.057,22418,19,Male,Germany,Startups
20003,Google,Google users complain about bug,user_66,2024-04-16,neutral,3780,1375,1235,119946,6315,0.0409,#ML #Trending #Update,user_58,fake,0.028,0.017,92438,28,Female,Singapore,AI
20004,Netflix,Netflix partners with another company,user_97,2024-05-05,negative,2778,2990,648,143542,4580,0.1337,#ML #Breaking,user_84 user_68 user_32,fake,0.099,0.067,20775,24,Female,UK,Startups
20005,Samsung,Samsung sales skyrocket after announcement,user_93,2024-06-28,positive,9617,1909,1609,158505,1771,0.2984,#Update #Trending #Sale,user_85 user_29 user_42,fake,0.038,0.086,32226,35,Female,Singapore,Movies
20006,Samsung,Samsung users complain about bug,user_72,2024-05-05,neutral,5675,1790,1162,196754,2906,0.1211,#Tech #Trending,user_40 user_94 user_27,fake,0.077,0.049,46856,53,Other,India,Shopping
20007,Amazon,Amazon announces new product,user_96,2024-05-27,neutral,7254,19,1080,29560,3588,0.0892,#Update,,real,0.08,0.086,81326,22,Other,India,Shopping
20008,Samsung,Samsung trending across social media,user_18,2024-01-16,negative,485,2903,918,179243,2397,0.0058,#AI #Breaking #Launch,user_27,fake,0.162,0.062,83529,42,Male,USA,Movies
20009,Tesla,Tesla announces new product,user_11,2024-01-07,positive,7131,4624,1847,15893,685,0.0958,#AI #Launch #Trending,,real,0.078,0.009,74440,56,Male,Australia,Finance
20010,Samsung,Samsung launches new AI feature,user_89,2024-02-08,positive,8906,3131,785,152952,6849,0.38,#ML,user_76 user_6 user_32,real,0.115,0.059,23437,59,Female,UK,AI
20011,Tesla,Tesla sales skyrocket after announcement,user_40,2024-03-08,negative,13460,4502,187,142113,6883,0.1494,#Launch #Sale #Tech,,real,0.078,0.025,90075,16,Other,Australia,Gaming
20012,Apple,Apple sales skyrocket after announcement,user_4,2024-05-29,negative,2472,3317,604,185968,2902,0.0723,#ML #Tech,user_67,fake,0.084,0.052,34210,25,Female,UK,Startups
20013,Meta,Meta launches new AI feature,user_84,2024-01-15,negative,14073,1921,1231,55993,1293,0.2377,#Launch,user_86,real,0.031,0.035,59194,56,Male,India,AI
20014,Amazon,Amazon launches new AI feature,user_66,2024-07-01,negative,1070,2539,1614,178590,2576,0.0118,#Update,user_30,real,0.089,0.066,91043,32,Other,USA,Startups
20015,Flipkart,Flipkart introduces new service,user_91,2024-03-12,neutral,9131,1045,746,169415,2019,0.22,#Launch,user_88 user_55,real,0.035,0.088,41506,49,Female,Canada,Finance
20016,Apple,Apple announces new product,user_66,2024-01-26,positive,5739,4184,1391,7226,5821,0.1272,#Sale,user_14,real,0.185,0.061,45118,23,Male,India,Startups
20017,OpenAI,OpenAI trending across social media,user_59,2024-02-23,neutral,1385,2170,1681,195970,7639,0.0556,#Trending #Update,user_28 user_88 user_98,real,0.184,0.009,24900,58,Other,Germany,Tech
20018,Meta,Meta receives positive feedback,user_68,2024-06-18,negative,548,4115,1119,120418,1987,0.0082,#AI #Update,user_13,real,0.103,0.057,67070,37,Other,UK,Gaming
20019,Google,Google launches new AI feature,user_40,2024-02-20,neutral,13223,3411,1019,147926,3158,0.2486,#Breaking,user_13 user_14 user_40,real,0.012,0.065,53200,24,Female,Australia,AI
20020,OpenAI,OpenAI receives positive feedback,user_27,2024-01-02,negative,718,3123,115,28078,2293,0.0135,#ML,,fake,0.111,0.031,53273,21,Other,India,Finance
20021,OpenAI,OpenAI announces new product,user_25,2024-04-28,positive,5469,390,1649,80279,2142,0.0751,#Trending #AI,user_51 user_92,fake,0.054,0.066,72820,42,Male,India,Tech
20022,Flipkart,Flipkart partners with another company,user_43,2024-01-27,positive,12135,2201,1149,132485,6742,0.2491,#Breaking #Trending #AI,user_89,fake,0.128,0.032,48717,45,Female,UK,AI
20023,Netflix,Netflix trending across social media,user_48,2024-07-05,negative,4160,3430,1607,89408,146,0.1314,#Update #Sale,user_68 user_62 user_93,real,0.078,0.061,31661,44,Male,Canada,Startups
20024,Microsoft,Microsoft partners with another company,user_71,2024-05-29,neutral,9424,2301,902,164748,2013,0.2336,#Tech #AI #Launch,,real,0.016,0.031,40334,57,Other,USA,Shopping
20025,Meta,Meta announces new product,user_9,2024-02-02,negative,14569,3176,723,53974,3638,0.1563,#Sale #ML,,fake,0.191,0.048,93223,28,Female,USA,Startups
20026,Microsoft,Microsoft releases major update,user_15,2024-03-04,neutral,7935,190,1109,83501,1843,0.2427,#Update #Tech #Trending,user_13 user_43 user_67,fake,0.018,0.021,32695,52,Other,USA,AI
