id,text,author,followers,likes,retweets,replies,hashtags,created_at,platform
1,"Tesla just hit 2 million vehicles delivered worldwide! A massive milestone. #Tesla #EV #ElectricVehicles",elon_fan,45230,1240,380,125,"Tesla,EV,ElectricVehicles",2024-01-15T10:30:00Z,x
2,"Is $TSLA overvalued? Stock dropped 20% amid rising competition from legacy automakers. #Tesla #TSLA #Investing",investor_mike,8920,89,45,67,"Tesla,TSLA,Investing",2024-01-15T11:00:00Z,x
3,"Just took delivery of my new Tesla Model Y. The Autopilot feature is absolutely incredible! #Tesla #ModelY",sarah_drives,3210,542,98,203,"Tesla,ModelY",2024-01-15T12:15:00Z,x
4,"Tesla Supercharger network now has over 50000 stations globally. No other EV brand comes close. #Tesla #EV",ev_advocate,12800,678,234,89,"Tesla,EV",2024-01-15T13:00:00Z,x
5,"Disappointed with my Tesla service experience. Waited 3 weeks for a simple repair. Customer support is lacking. #Tesla",unhappy_owner,1890,234,56,178,"Tesla",2024-01-15T13:30:00Z,x
6,"Tesla opens massive new Gigafactory in Mexico. 10000 jobs created for local community. #Tesla #Gigafactory #Jobs",business_news,34500,891,412,67,"Tesla,Gigafactory,Jobs",2024-01-15T14:00:00Z,x
7,"BREAKING: Tesla recalling 200000 vehicles for software issue with backup camera. Safety first! #Tesla #Recall",auto_reporter,28900,456,189,234,"Tesla,Recall",2024-01-15T14:30:00Z,x
8,"Tesla Model 3 ranked #1 in JD Power reliability study for third consecutive year. @Tesla keeping standards high! #Tesla",reliability_report,9870,723,298,45,"Tesla",2024-01-15T15:00:00Z,x
9,"Why I switched from Tesla to a traditional gas car after 3 years. Thread below. #Tesla #EV #CarReview",switched_back,5640,389,145,892,"Tesla,EV,CarReview",2024-01-15T15:30:00Z,x
10,"Tesla AI day announcement incoming. Expect major news on Full Self-Driving and Optimus robot. #Tesla #AI #FSD",tech_watcher,67800,1890,678,345,"Tesla,AI,FSD",2024-01-15T16:00:00Z,x
11,"@elonfan Tesla needs to fix their app. It crashes every time I try to start pre-conditioning. #Tesla #Bug",app_user,2340,123,34,89,"Tesla,Bug",2024-01-15T16:30:00Z,x
12,"Tesla quarterly earnings beat Wall Street estimates by 8%. Revenue up 21% year over year. $TSLA rockets! #Tesla #TSLA",financial_times,89200,2340,891,234,"Tesla,TSLA",2024-01-15T17:00:00Z,x
13,"Love the Tesla community! Met so many amazing people at the local Tesla owners meetup today. #Tesla #Community",community_member,4560,445,112,67,"Tesla,Community",2024-01-15T17:30:00Z,x
14,"Cybertruck spotted on the highway doing 110mph. The aerodynamics look terrible tbh. #Tesla #Cybertruck",car_critic,15670,678,234,456,"Tesla,Cybertruck",2024-01-15T18:00:00Z,x
15,"Tesla energy storage division sets new record — 5 GWh deployed in Q4. Solar + battery is the future. #Tesla #CleanEnergy",green_energy,23400,891,345,78,"Tesla,CleanEnergy",2024-01-15T18:30:00Z,x
16,"Just hit 100000 miles on my Tesla Model S. Zero major issues. Best car I have ever owned. #Tesla #ModelS #100k",long_term_owner,7890,1234,456,123,"Tesla,ModelS",2024-01-15T19:00:00Z,x
17,"Tesla cuts prices again on Model 3 and Model Y in Europe. Smart move to regain market share. #Tesla #EV #Europe",eu_auto_news,45600,567,234,89,"Tesla,EV,Europe",2024-01-15T19:30:00Z,x
18,"Frustrated Tesla owner here. My FSD subscription auto-renewed at $199 without warning. @Tesla fix this! #Tesla #FSD",fsd_user,3210,345,89,234,"Tesla,FSD",2024-01-15T20:00:00Z,x
19,"Tesla partnering with NREL on next-gen solid-state battery technology. Could double range by 2026. #Tesla #Battery",battery_tech,19800,1456,678,123,"Tesla,Battery",2024-01-15T20:30:00Z,x
